show_id,country
s958,Unknown
s959,Unknown
s960,India
s961,Unknown
s962,Unknown
s963,United States
s963,United Kingdom
s964,Unknown
s965,Unknown
s966,Unknown
s967,Brazil
s968,Unknown
s969,Poland
s970,United States
s971,United States
s972,Spain
s973,Turkey
s974,India
s975,India
s976,United States
s977,Turkey
s978,Turkey
s979,Turkey
s980,Turkey
s981,Turkey
s982,Turkey
s983,Turkey
s984,Spain
s985,Turkey
s986,Turkey
s987,Turkey
s988,Unknown
s989,Thailand
s990,Turkey
s991,Turkey
s992,Egypt
s993,Unknown
s994,United States
s995,Nigeria
s996,Turkey
s997,Japan
s998,Australia
s998,United Kingdom
s999,India
s1000,Germany
s1000,United States
s1001,Unknown
s1002,Canada
s1002,Nigeria
s1002,United States
s1003,Mexico
s1004,Italy
s1005,Australia
s1006,Unknown
s1007,Unknown
s1008,Unknown
s1009,Unknown
s1010,Unknown
s1011,Unknown
s1012,United States
s1013,Mexico
s1014,France
s1014,United States
s1014,United Kingdom
s1014,Canada
s1015,France
s1015,United Kingdom
s1016,United States
s1017,India
s1018,India
s1019,India
s1020,India
s1020,United Kingdom
s1021,India
s1022,India
s1023,India
s1024,India
s1025,United States
s1026,Unknown
s1027,United States
s1028,Canada
s1028,United States
s1028,Mexico
s1029,Unknown
s1030,United States
s1031,Philippines
s1032,Germany
s1033,South Korea
s1034,United Kingdom
s1034,Germany
s1034,United States
s1035,United States
s1036,Czech Republic
s1036,United Kingdom
s1036,United States
s1037,United States
s1038,India
s1039,Unknown
s1040,United States
s1041,Japan
s1042,Japan
s1043,United States
s1044,United States
s1045,Japan
s1046,United States
s1047,United States
s1048,Lebanon
s1049,United States
s1049,France
s1050,China
s1050,United Kingdom
s1051,Japan
s1052,Japan
s1053,United States
s1054,United States
s1055,Unknown
s1056,United States
s1057,Unknown
s1058,United States
s1059,Italy
s1059,United Kingdom
s1060,United States
s1061,United States
s1061,India
s1062,United States
s1063,South Korea
s1064,United States
s1065,South Korea
s1066,Canada
s1067,China
s1067,Taiwan
s1068,Thailand
s1069,United States
s1070,India
s1071,United States
s1072,Unknown
s1073,Unknown
s1074,Unknown
s1075,Unknown
s1076,United States
s1076,Brazil
s1076,Japan
s1076,Spain
s1076,India
s1077,Unknown
s1078,Unknown
s1079,Unknown
s1080,Israel
s1080,United States
s1081,China
s1082,United States
s1083,Unknown
s1084,United States
s1085,China
s1086,South Korea
s1087,Nigeria
s1088,India
s1089,United States
s1090,United States
s1091,Indonesia
s1092,Japan
s1093,Unknown
s1094,India
s1095,Unknown
s1096,Unknown
s1097,Unknown
s1098,United States
s1098,China
s1098,United Kingdom
s1099,India
s1100,Cameroon
s1101,United States
s1102,United States
s1102,Canada
s1103,United States
s1104,China
s1105,United States
s1105,Canada
s1106,United Kingdom
s1106,United States
s1107,United States
s1108,Nigeria
s1109,India
s1110,Netherlands
s1111,France
s1112,United States
s1112,United Kingdom
s1112,France
s1113,United States
s1114,United States
s1115,India
s1116,India
s1117,Unknown
s1118,Lebanon
s1118,Palestine
s1118,Denmark
s1118,Qatar
s1119,United States
s1119,Canada
s1120,United States
s1120,Canada
s1121,Japan
s1121,United States
s1122,United States
s1123,India
s1124,Uruguay
s1124,Germany
s1125,United States
s1126,United Kingdom
s1127,United States
s1128,United States
s1129,United States
s1130,United Kingdom
s1131,Unknown
s1132,Japan
s1133,Unknown
s1134,United States
s1135,United States
s1135,Japan
s1136,United States
s1137,Indonesia
s1138,Egypt
s1138,Saudi Arabia
s1139,United Kingdom
s1139,France
s1139,Poland
s1139,Germany
s1139,United States
s1140,United States
s1141,United States
s1142,India
s1143,United States
s1144,United States
s1145,United States
s1145,United Kingdom
s1146,Ireland
s1146,Switzerland
s1146,United Kingdom
s1146,France
s1146,United States
s1147,United States
s1147,Mexico
s1148,United Kingdom
s1149,South Korea
s1150,Japan
s1151,United States
s1152,China
s1152,United Kingdom
s1153,United States
s1154,United Kingdom
s1154,South Africa
s1154,France
s1155,United States
s1156,Nigeria
s1157,United States
s1158,United States
s1159,United States
s1160,Unknown
s1161,Ireland
s1161,United Kingdom
s1161,France
s1161,Germany
s1162,United Kingdom
s1163,Turkey
s1164,Spain
s1165,Spain
s1166,India
s1167,United Kingdom
s1168,Italy
s1169,United States
s1170,Japan
s1171,Russia
s1171,United States
s1172,United States
s1173,South Africa
s1174,South Korea
s1175,South Korea
s1176,United Kingdom
s1176,United States
s1176,France
s1177,Japan
s1178,Taiwan
s1179,United States
s1180,United States
s1180,Japan
s1181,Unknown
s1182,United States
s1183,United Kingdom
s1184,Unknown
s1185,China
s1186,Nigeria
s1187,Japan
s1188,United States
s1189,Brazil
s1190,United States
s1191,United Kingdom
s1191,United States
s1192,United States
s1193,United Kingdom
s1194,Unknown
s1195,Nigeria
s1196,United States
s1197,Belgium
s1198,United Kingdom
s1198,United States
s1199,Germany
s1200,United States
s1201,United States
s1202,Egypt
s1203,India
s1204,United States
s1204,India
s1204,United Kingdom
s1205,United States
s1206,United States
s1206,United Kingdom
s1207,United Kingdom
s1208,Unknown
s1209,Turkey
s1210,Kenya
s1211,South Korea
s1212,Turkey
s1213,Turkey
s1214,United States
s1215,Unknown
s1216,Turkey
s1217,Turkey
s1218,United Kingdom
s1219,United States
s1220,Turkey
s1221,Spain
s1221,Argentina
s1222,Indonesia
s1223,United States
s1224,France
s1225,Unknown
s1226,Unknown
s1227,Germany
s1228,India
s1229,India
s1229,United Kingdom
s1229,France
s1229,Qatar
s1230,Egypt
s1231,India
s1232,United States
s1233,Colombia
s1234,Nigeria
s1235,Spain
s1236,Unknown
s1237,France
s1238,Indonesia
s1239,United States
s1239,Australia
s1240,United States
s1241,United States
s1242,United States
s1243,United States
s1244,United States
s1245,India
s1246,United States
s1247,Unknown
s1248,Unknown
s1249,United States
s1250,Unknown
s1251,Unknown
s1252,United States
s1252,United Kingdom
s1253,Germany
s1254,United States
s1255,United States
s1256,Unknown
s1257,United States
s1257,Germany
s1258,Japan
s1259,Belgium
s1259,France
s1260,United States
s1261,Spain
s1262,Argentina
s1262,Chile
s1263,Unknown
s1264,United States
s1264,Thailand
s1265,United States
s1266,India
s1267,Chile
s1267,Brazil
s1268,Germany
s1269,United States
s1269,Colombia
s1270,Indonesia
s1271,United States
s1271,Colombia
s1272,Unknown
s1273,United States
s1274,Japan
s1275,United States
s1276,United States
s1277,Unknown
s1278,United States
s1279,United States
s1280,Canada
s1281,United Kingdom
s1282,India
s1283,India
s1284,United States
s1285,Canada
s1285,United States
s1285,United Kingdom
s1286,South Korea
s1287,Taiwan
s1288,United Kingdom
s1289,United States
s1290,Unknown
s1291,United Kingdom
s1291,United States
s1292,India
s1293,Uruguay
s1294,India
s1295,Germany
s1296,India
s1297,South Korea
s1298,United States
s1299,South Korea
s1300,Unknown
s1301,United States
s1302,United Kingdom
s1303,United States
s1304,United States
s1305,United States
s1306,India
s1307,United States
s1308,United States
s1309,United Kingdom
s1310,United States
s1311,United States
s1312,Nigeria
s1313,United Kingdom
s1314,United States
s1315,United States
s1316,Spain
s1317,India
s1318,United Kingdom
s1319,United States
s1320,Mexico
s1321,Luxembourg
s1322,Mexico
s1323,Spain
s1324,Indonesia
s1325,United States
s1326,Sweden
s1327,Poland
s1328,United States
s1329,United States
s1330,France
s1331,United States
s1332,United States
s1333,United States
s1334,United States
s1334,Cambodia
s1334,Romania
s1335,China
s1336,United States
s1337,France
s1338,Bangladesh
s1339,Spain
s1340,Brazil
s1341,Taiwan
s1342,United States
s1343,South Korea
s1344,United States
s1345,Italy
s1346,China
s1347,Poland
s1348,Spain
s1348,Belgium
s1348,United States
s1349,United States
s1350,Colombia
s1351,United States
s1352,Mexico
s1353,United States
s1354,United States
s1355,Canada
s1356,United States
s1357,United States
s1358,United Kingdom
s1359,United States
s1360,United Kingdom
s1360,United States
s1360,Australia
s1361,Philippines
s1362,United States
s1363,Canada
s1363,United States
s1363,France
s1364,United States
s1365,United States
s1366,France
s1367,Portugal
s1367,United States
s1368,United States
s1369,Spain
s1370,United States
s1371,United Kingdom
s1372,United States
s1373,Indonesia
s1374,Turkey
s1375,United States
s1376,United States
s1377,India
s1378,United States
s1379,Australia
s1379,United States
s1380,Nigeria
s1381,United States
s1381,United Kingdom
s1382,Unknown
s1383,Unknown
s1384,Canada
s1385,South Korea
s1386,Japan
s1387,Portugal
s1387,Spain
s1388,United States
s1388,France
s1389,India
s1389,United States
s1390,United States
s1391,United Kingdom
s1391,Ireland
s1392,United States
s1393,Mexico
s1394,United States
s1395,United States
s1396,United States
s1397,United States
s1398,United Kingdom
s1398,Spain
s1398,United States
s1399,United States
s1399,Thailand
s1400,United States
s1401,United States
s1402,United States
s1403,United States
s1404,Brazil
s1405,United States
s1406,Hungary
s1406,United States
s1407,United States
s1408,United States
s1408,South Korea
s1409,United States
s1409,Canada
s1410,United States
s1411,India
s1412,United States
s1413,South Korea
s1414,Indonesia
s1415,Indonesia
s1416,United States
s1417,United States
s1418,Argentina
s1419,Unknown
s1420,United Kingdom
s1421,United States
s1422,France
s1423,India
s1424,India
s1425,Canada
s1425,United States
s1425,Cayman Islands
s1426,United States
s1427,India
s1428,United Kingdom
s1429,India
s1429,France
s1430,India
s1431,United States
s1432,Turkey
s1433,Spain
s1434,Indonesia
s1435,France
s1435,Canada
s1436,Canada
s1436,Hungary
s1436,United States
s1437,Unknown
s1438,United States
s1439,France
s1440,United States
s1441,Mexico
s1441,United States
s1442,India
s1443,Unknown
s1444,United States
s1445,United States
s1446,Norway
s1447,United States
s1448,United States
s1448,Canada
s1449,United States
s1450,United States
s1451,United States
s1452,United States
s1453,United States
s1454,United States
s1455,United States
s1456,United States
s1457,United States
s1458,United States
s1459,United Kingdom
s1460,United States
s1461,Mexico
s1462,United States
s1463,Unknown
s1464,Canada
s1464,United Kingdom
s1464,United States
s1465,United States
s1466,United States
s1467,United States
s1468,United Kingdom
s1468,Germany
s1468,France
s1468,United States
s1469,South Korea
s1470,United States
s1471,United States
s1472,Unknown
s1473,India
s1474,United States
s1475,Indonesia
s1476,Indonesia
s1477,United States
s1478,United States
s1479,Denmark
s1479,United States
s1480,Italy
s1481,United Kingdom
s1482,Taiwan
s1483,Unknown
s1484,South Korea
s1485,United States
s1486,United States
s1486,Canada
s1487,United States
s1488,Senegal
s1489,France
s1489,Algeria
s1490,India
s1491,Canada
s1492,India
s1493,United States
s1494,Philippines
